QOut,etaOut,devEta
0.1,0,0
0.3,0,0
0.7,0.217775950909327,0.0433622906860647
0.9,0.407308697469776,0.0571466081647127
1.1,0.449305149120943,0.0295928997729253
1.3,0.600946400369558,0.0360162963881113
1.5,0.679644213833092,0.0351759601318887
1.7,0.681014839297579,0.0705662653321596
1.9,0.772001064832055,0.0140240884299081
2.1,0.770825556513999,0.0164896080985972
2.3,0.71600297514842,0.0123574271980628
2.5,0.623861814702611,0.0179406724781703
2.7,0.55360408237928,0
3.1,0.513235983007011,0
3.7,0.436309829367784,0
4.1,0.369149231763188,0
